canonical_country,region_priority,is_nordic,is_eu,needs_review,note
Denmark,Nordic,TRUE,TRUE,FALSE,
Finland,Nordic,TRUE,TRUE,FALSE,
Norway,Nordic,TRUE,FALSE,FALSE,
Sweden,Nordic,TRUE,TRUE,FALSE,
Austria,EU,FALSE,TRUE,FALSE,
Belgium,EU,FALSE,TRUE,FALSE,
Bulgaria,EU,FALSE,TRUE,FALSE,
Croatia,EU,FALSE,TRUE,FALSE,
Czechia,EU,FALSE,TRUE,FALSE,
France,EU,FALSE,TRUE,FALSE,
Germany,EU,FALSE,TRUE,FALSE,
Greece,EU,FALSE,TRUE,FALSE,
Hungary,EU,FALSE,TRUE,FALSE,
Ireland,EU,FALSE,TRUE,FALSE,
Italy,EU,FALSE,TRUE,FALSE,
Netherlands,EU,FALSE,TRUE,FALSE,
Poland,EU,FALSE,TRUE,FALSE,
Portugal,EU,FALSE,TRUE,FALSE,
Romania,EU,FALSE,TRUE,FALSE,
Slovakia,EU,FALSE,TRUE,FALSE,
Slovenia,EU,FALSE,TRUE,FALSE,
Spain,EU,FALSE,TRUE,FALSE,
Argentina,Other,FALSE,FALSE,FALSE,
Australia,Other,FALSE,FALSE,FALSE,
Brazil,Other,FALSE,FALSE,FALSE,
Canada,Other,FALSE,FALSE,FALSE,
Chile,Other,FALSE,FALSE,FALSE,
China,Other,FALSE,FALSE,FALSE,
Colombia,Other,FALSE,FALSE,FALSE,
Hong Kong,Other,FALSE,FALSE,FALSE,
India,Other,FALSE,FALSE,FALSE,
Israel,Other,FALSE,FALSE,FALSE,
Japan,Other,FALSE,FALSE,FALSE,
Malaysia,Other,FALSE,FALSE,TRUE,Unrecognized or potentially non-country location token: 'Malaysia'
Mexico,Other,FALSE,FALSE,FALSE,
New Zealand,Other,FALSE,FALSE,FALSE,
Peru,Other,FALSE,FALSE,TRUE,Unrecognized or potentially non-country location token: 'Peru'
Puerto Rico,Other,FALSE,FALSE,FALSE,
Russia,Other,FALSE,FALSE,FALSE,
Serbia,Other,FALSE,FALSE,FALSE,
Singapore,Other,FALSE,FALSE,FALSE,
South Africa,Other,FALSE,FALSE,FALSE,
South Korea,Other,FALSE,FALSE,FALSE,
Switzerland,Other,FALSE,FALSE,FALSE,
Taiwan,Other,FALSE,FALSE,FALSE,
Turkey,Other,FALSE,FALSE,FALSE,
Ukraine,Other,FALSE,FALSE,FALSE,
United Kingdom,Other,FALSE,FALSE,FALSE,
United States,Other,FALSE,FALSE,FALSE,
